iter	Logloss
0	0.6542047088
1	0.6241257599
2	0.5994322958
3	0.5788937673
4	0.5608909583
5	0.5440332482
6	0.5331976727
7	0.5206088717
8	0.5120919033
9	0.5039670227
10	0.4962219536
11	0.4895233612
12	0.4846998592
13	0.4800391233
14	0.4758467077
15	0.4708398726
16	0.4674874955
17	0.4646904913
18	0.461087926
19	0.4573144222
20	0.4548477978
21	0.452847755
22	0.4501069012
23	0.4466736694
24	0.4444258612
25	0.4422437234
26	0.4405788035
27	0.4394294495
28	0.4379352762
29	0.4361880375
30	0.4343559302
31	0.4324926268
32	0.4313066314
33	0.4303878451
34	0.4294039249
35	0.4284844614
36	0.4274806098
37	0.426665637
38	0.4254837257
39	0.4247124977
40	0.4241957433
41	0.4212289684
42	0.4208983856
43	0.4203240719
44	0.4197280566
45	0.4191240614
46	0.4184219868
47	0.4178397895
48	0.4170498865
49	0.4162880535
50	0.4157339377
51	0.4152674097
52	0.4148306945
53	0.4140252895
54	0.4133753519
55	0.4128081402
56	0.4122996321
57	0.4118643035
58	0.4114707365
59	0.4111669788
60	0.4100906463
61	0.4097687516
62	0.4094137763
63	0.4086728486
64	0.4083182349
65	0.4079774598
66	0.4075185702
67	0.4071279279
68	0.4065702719
69	0.4059133241
70	0.4055309496
71	0.4053694865
72	0.4046739972
73	0.4044159662
74	0.4040347702
75	0.4036577748
76	0.4031872684
77	0.4026237002
78	0.4023893519
79	0.4020965928
80	0.401189192
81	0.4009652816
82	0.4004914206
83	0.4002750038
84	0.4000550411
85	0.399879775
86	0.3996726594
87	0.3993947228
88	0.3984535869
89	0.3980569219
90	0.3971293611
91	0.396885256
92	0.3965133438
93	0.3963214036
94	0.3958207718
95	0.3949760923
96	0.3946833078
97	0.3942538815
98	0.3938795667
99	0.3936907051
100	0.3930350531
101	0.3920804062
102	0.3918211809
103	0.3916239809
104	0.391102477
105	0.3907564143
106	0.3905813268
107	0.3902108963
108	0.3899522682
109	0.3895602528
110	0.3891197133
111	0.388932503
112	0.3885974391
113	0.3882557293
114	0.3876146863
115	0.3875007685
116	0.3872252009
117	0.3866095624
118	0.386401629
119	0.3858853812
120	0.3855494818
121	0.3851261462
122	0.3848916697
123	0.383781158
124	0.3835233039
125	0.3832320559
126	0.3824737901
127	0.3817274901
128	0.3812621194
129	0.3809640943
130	0.3805776279
131	0.3803183642
132	0.3799511585
133	0.3797325687
134	0.3794596398
135	0.3792442711
136	0.3790911974
137	0.3788762925
138	0.3786553757
139	0.3784318309
140	0.3783065447
141	0.3778445077
142	0.3776242437
143	0.3773329714
144	0.3770395844
145	0.3763542718
146	0.3761292058
147	0.3758175901
148	0.3755041293
149	0.375033558
150	0.3748140682
151	0.3746116695
152	0.3744150911
153	0.3742124101
154	0.3736142141
155	0.3732573921
156	0.3730237894
157	0.3727859357
158	0.3719929583
159	0.3718557213
160	0.3717208072
161	0.3706740524
162	0.3704553142
163	0.3701523971
164	0.3700059589
165	0.369830693
166	0.3697106318
167	0.3695402119
168	0.3692413669
169	0.368889514
170	0.368237265
171	0.3679814689
172	0.3677303238
173	0.3675211666
174	0.3666130862
175	0.3664163521
176	0.3657522297
177	0.3650829036
178	0.3650239039
179	0.3648019901
180	0.3645573427
181	0.3641957221
182	0.3638761368
183	0.3634664644
184	0.3632121671
