iter	Logloss
185	0.3628047878
186	0.3625914505
187	0.3623254554
188	0.3621968879
189	0.361642509
190	0.3614216518
191	0.3611426049
192	0.3606848477
193	0.3605833844
194	0.3602374166
195	0.3598139283
196	0.3593653272
197	0.359032682
198	0.3587523678
199	0.3584943048
200	0.3580293742
201	0.3579494972
202	0.357515132
203	0.3569925577
204	0.3568466583
205	0.3566110856
206	0.3561322168
207	0.3560436406
208	0.3557887947
209	0.3553112359
210	0.3545903124
211	0.3541553736
212	0.353741959
213	0.3534418567
214	0.3533461633
215	0.3532155387
216	0.3528552488
217	0.3526990064
218	0.3524767252
219	0.3522012728
220	0.3520158381
221	0.3515717223
222	0.3511066851
223	0.3507937932
224	0.3505183745
225	0.3502120491
226	0.3499150527
227	0.3495616047
228	0.349188283
229	0.3486534009
230	0.3485201363
231	0.3482234042
232	0.3479896889
233	0.3477684002
234	0.3475767673
235	0.3473532315
236	0.3472082031
237	0.3470063921
238	0.3469483186
239	0.346767032
240	0.3466226057
241	0.3463343177
242	0.3461032361
243	0.3459826539
244	0.3454154465
245	0.3450880289
246	0.3448927262
247	0.3446599473
248	0.3443978087
249	0.344174636
250	0.343887916
251	0.3438371814
252	0.3437496871
253	0.3435290215
254	0.3430437681
255	0.3427748948
256	0.3424766997
257	0.3424340642
258	0.3419640772
259	0.3417069076
260	0.3414976931
261	0.3412506809
262	0.3409981349
263	0.3407200585
264	0.3406325349
265	0.3402953951
266	0.3399137953
267	0.3397414979
268	0.3396742699
269	0.3395089883
270	0.3393347481
271	0.3391384426
272	0.3388756067
273	0.3385525649
274	0.3383852298
275	0.3382133793
276	0.3379703282
277	0.33764932
278	0.337481276
279	0.3372346501
280	0.33689218
281	0.3366995365
282	0.336561881
283	0.3363519356
284	0.3360514862
285	0.3358371358
286	0.3355472446
287	0.3353529782
288	0.3351749129
289	0.3350041588
290	0.3346334652
291	0.3342558692
292	0.3340518022
293	0.3338623667
294	0.3337023892
295	0.3335029818
296	0.3331695172
297	0.3330437167
298	0.3327582753
299	0.3326190477
300	0.3322293371
301	0.3320126686
302	0.3317928094
303	0.3316330878
304	0.3314265653
305	0.3313172723
306	0.3310660043
307	0.3309509016
308	0.3309441058
309	0.3308779611
310	0.3305901371
311	0.3304812986
312	0.330000492
313	0.3297101775
314	0.3294668369
315	0.3293727562
316	0.3293190041
317	0.3289950921
318	0.3287557578
319	0.328579063
320	0.3283426916
321	0.3282538214
322	0.3282139858
323	0.3279602263
324	0.3277041552
325	0.3275466522
326	0.3274056641
327	0.326935418
328	0.3267124345
329	0.32627427
330	0.3260824683
331	0.3259455491
332	0.3256970475
333	0.3255976192
334	0.325366461
335	0.3251737073
336	0.3249633807
337	0.3247195432
338	0.3245045336
339	0.3243222906
340	0.3242454903
341	0.3242134757
342	0.3240400619
343	0.3240163035
344	0.3237500531
345	0.3234609996
346	0.322991652
347	0.3227371994
348	0.3226207286
349	0.3222892485
350	0.3219730257
351	0.3216346249
352	0.3215762351
353	0.3213641356
354	0.321241281
355	0.3211869071
356	0.3210776554
357	0.320851277
358	0.3206816785
359	0.3205862157
360	0.3205008294
361	0.3202888477
362	0.3201712199
363	0.3201030809
364	0.3198707971
365	0.3196904348
366	0.3195805663
367	0.3194756291
368	0.3193016842
369	0.3190371571
370	0.3186912069
371	0.3185246879
372	0.3183549111
373	0.3180917745
374	0.3178808694
375	0.3177305596
376	0.3174998108
377	0.317192045
378	0.3171139203
379	0.3170752534
380	0.3168568497
381	0.3167032565
382	0.3166424221
383	0.3165699736
384	0.3162574057
385	0.3159647109
386	0.3157333396
387	0.3155627797
388	0.3154361597
389	0.3152958885
390	0.3151694554
391	0.314986677
392	0.3149286533
393	0.3148612924
394	0.3148314606
395	0.3147087445
396	0.3146760885
397	0.314583684
398	0.3144310799
399	0.3142359358
400	0.3140616506
401	0.3138469995
402	0.3136510014
403	0.3134593208
404	0.3133873391
405	0.313226276
406	0.3131509846
407	0.313101664
408	0.3129441741
409	0.312879818
410	0.3127069559
411	0.3125344933
412	0.3123531077
413	0.3121025548
414	0.3117555572
415	0.3116340265
416	0.3115016669
417	0.3113251236
418	0.3111579744
419	0.3110835927
420	0.3109075557
421	0.3107234704
422	0.310639189
423	0.310507694
424	0.3103881507
425	0.3101816746
426	0.3099514229
427	0.309881029
428	0.3097004921
429	0.3094551489
430	0.3091804717
431	0.3090894998
432	0.3089386521
433	0.3088706024
434	0.3086994351
435	0.3085050874
436	0.3081084688
437	0.3079874263
438	0.3078787302
439	0.3078047422
440	0.3076788324
441	0.3073830678
442	0.3072399494
443	0.3071974609
444	0.307046215
445	0.30693721
446	0.3067916433
447	0.306625012
448	0.3065146042
449	0.3064472977
450	0.306372685
451	0.3062285698
452	0.3061573233
453	0.3058624628
454	0.3057110879
455	0.3055533298
456	0.3053318629
457	0.3051635978
458	0.3051337988
459	0.305038819
460	0.3049039905
461	0.3046961005
462	0.3045309262
463	0.3043451098
464	0.3042175689
465	0.304044407
466	0.3037873116
467	0.3036590024
468	0.30336193
469	0.3032741753
470	0.3032042548
471	0.3030438672
472	0.3028558709
473	0.3028037844
474	0.3027085079
475	0.302558686
476	0.3023478962
477	0.3021879751
478	0.3019387691
479	0.3016965529
480	0.301528867
481	0.3013347879
482	0.3012059523
483	0.3010533142
484	0.3009219898
485	0.300768893
486	0.3007005858
487	0.3005990031
488	0.300448556
489	0.3004111175
490	0.3001370729
491	0.2998547586
492	0.2997947947
493	0.2993924648
494	0.2991479303
495	0.2989977735
496	0.2988146531
497	0.2985489624
498	0.2984442096
499	0.2982315246
500	0.2980339591
501	0.2978816386
502	0.2976487539
503	0.2974856423
504	0.2973396906
505	0.2970473561
506	0.2969397497
507	0.2967153637
508	0.2966392321
509	0.2965042557
510	0.2964038927
511	0.2961408385
512	0.2959656199
513	0.2957921712
514	0.295645483
515	0.2955794415
516	0.2954938999
517	0.2953342753
518	0.2951074383
519	0.294977195
520	0.2949384234
521	0.2948750908
522	0.2946843176
523	0.2946026863
524	0.2943345603
525	0.2942986353
526	0.2941732637
527	0.294055349
528	0.2938297259
529	0.2937881664
530	0.2937184849
531	0.293604322
532	0.2935385464
533	0.2933319774
534	0.2932689784
535	0.293078986
536	0.2930295088
537	0.2928975072
538	0.2928643228
539	0.2926451134
540	0.2924863528
541	0.2924167688
542	0.2923257759
543	0.2922029238
544	0.2919677726
545	0.2918386097
546	0.2916317168
547	0.2914514125
548	0.2914033336
549	0.2913407085
550	0.2912333768
551	0.2910181622
552	0.2909718915
553	0.2909017497
554	0.2907858116
555	0.2906726011
556	0.2906190146
557	0.2905884012
558	0.2904225558
559	0.290351863
560	0.2902102158
561	0.2901362158
562	0.2900617826
563	0.2900261137
564	0.2898246436
565	0.2897662473
566	0.2896993679
567	0.2896428135
568	0.2895237106
569	0.2892738729
570	0.2892298457
571	0.2891398552
572	0.2891033123
573	0.2889744763
574	0.2887719661
575	0.2887259038
576	0.2886969268
577	0.2885995395
578	0.2885474612
579	0.2884070924
580	0.2883339644
581	0.2882505341
582	0.2881940935
583	0.2879936553
584	0.287838414
585	0.2877290667
586	0.2876992604
587	0.28759342
588	0.2875453359
589	0.2874705125
590	0.2873722553
591	0.2872710825
592	0.2871765348
593	0.2869955602
594	0.2866290524
595	0.286383629
596	0.2863221583
597	0.2861113048
598	0.2859747522
599	0.2859173112
600	0.2857342351
601	0.2856839658
602	0.2855868154
603	0.285461189
604	0.2853434538
605	0.2852418128
606	0.2851730878
607	0.2850282179
608	0.2849415392
609	0.2847945869
610	0.2846160929
611	0.2845415472
612	0.2844911153
613	0.2843363741
614	0.2841137432
615	0.2840354122
616	0.2839414863
617	0.2838493679
618	0.2837844977
619	0.2837263666
620	0.2836277416
621	0.2835097653
622	0.2834080471
623	0.2833284472
624	0.2832300836
625	0.2831408443
626	0.2831141116
627	0.2830690577
628	0.2829733956
629	0.2829016016
630	0.2828662315
631	0.282842419
632	0.2827269288
633	0.282532603
634	0.2824844694
635	0.2824211896
636	0.2823342308
637	0.2823113485
638	0.282184069
639	0.2821592432
640	0.2820773513
641	0.2819716096
642	0.2819031391
643	0.2818476874
644	0.2817831812
645	0.2816408865
646	0.2816139235
647	0.2815305663
648	0.2813776604
649	0.2812360372
650	0.2812224493
651	0.2812074449
652	0.2810288776
653	0.2809030469
654	0.2807658441
655	0.2807045319
656	0.2803745973
657	0.2803206509
658	0.2801749026
659	0.2799955228
660	0.2796773498
661	0.2796198636
662	0.2795509093
663	0.2793756922
664	0.2793294135
665	0.2793178549
666	0.2792859389
667	0.2792576585
668	0.2790603104
669	0.2790164082
670	0.2789150944
671	0.2788441639
672	0.2787294098
673	0.2786923774
674	0.2786779105
675	0.2785295695
676	0.2784467255
677	0.2782582458
678	0.2781351878
679	0.2780888416
680	0.2779532883
681	0.2779052211
682	0.2776845482
683	0.2775819375
684	0.2774967098
685	0.2774407788
686	0.2772758701
687	0.2772308838
688	0.2771321793
689	0.2770444605
690	0.2768544187
691	0.2768172749
692	0.2766812375
693	0.2764748142
694	0.2763990212
695	0.2762419211
696	0.2761754669
697	0.2758655775
698	0.2758089722
699	0.2757934261
700	0.2757772457
701	0.2756299786
702	0.2755814939
703	0.2753567788
704	0.2750920337
705	0.2749882219
706	0.2748529244
707	0.2746570381
708	0.2746086312
709	0.2745669393
710	0.2744521396
711	0.2742946091
712	0.2741915657
713	0.2741755866
714	0.2740890717
715	0.274037276
716	0.2739185333
717	0.2738082162
718	0.2737159174
719	0.2736550291
720	0.2736132417
721	0.2734407174
722	0.2733424303
723	0.2731730469
724	0.2731018989
725	0.2730450598
726	0.2729966362
727	0.2728533437
728	0.2727239841
729	0.2726139142
730	0.2725765054
731	0.2723952189
732	0.2723010536
733	0.2722365359
734	0.2721829388
735	0.2720363166
736	0.2718092483
737	0.2717286887
738	0.2715910303
739	0.2715149231
740	0.2714062488
741	0.2713344276
742	0.2710770728
743	0.2709608424
744	0.2709133605
745	0.2708996464
746	0.2708464338
747	0.2707878962
748	0.2706507015
749	0.270597038
750	0.2705605849
751	0.2704574726
752	0.2703764254
753	0.2702176641
754	0.2701540456
755	0.2700546842
756	0.2700267307
757	0.2699456041
758	0.269850713
759	0.2698166031
760	0.2697725169
761	0.2696716244
762	0.2696400748
763	0.2695366794
764	0.269522097
765	0.2694593693
766	0.2692929427
767	0.2692595562
768	0.2691282161
769	0.2691159188
770	0.2690448292
771	0.2690222584
772	0.2690073328
773	0.2689189989
774	0.2687344201
775	0.2686883832
776	0.2686550093
777	0.2686338851
778	0.2685811545
779	0.2683878201
780	0.268316001
781	0.2682744517
782	0.2681074714
783	0.2680486184
784	0.2679442094
785	0.2678487217
786	0.267750959
787	0.2676688286
788	0.2675774741
789	0.2674668525
790	0.2673218662
791	0.2672221328
792	0.267175212
793	0.2671664669
794	0.2671413151
795	0.2671164218
796	0.2668961838
797	0.2667489567
798	0.2665710261
799	0.2664293651
